-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
QV2M MERRA2 1/2x1/2 Specific Humidity at 2 Meters (g/kg) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
KT SRB/FLASHFlux 1/2x1/2 Insolation Clearness Index (dimensionless) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,QV2M,WS10M_RANGE,WS10M,ALLSKY_SFC_SW_DWN,PRECTOT,KT,CLRSKY_SFC_SW_DWN
33.25,-96.75,2020,01,01,    4.19,    3.52,    5.67,              0.87,    0.03,              0.18,-999
33.75,-101.25,2020,01,01,    3.30,    5.10,    7.93,              2.78,    0.00,              0.56,              3.56
33.75,-100.75,2020,01,01,    3.49,    4.98,    7.65,              1.60,    0.00,              0.32,              3.50
33.75,-100.25,2020,01,01,    3.67,    4.91,    7.33,              1.60,    0.00,              0.32,              3.50
33.75,-99.75,2020,01,01,    3.84,    5.28,    7.16,              1.24,    0.00,              0.25,-999
33.75,-99.25,2020,01,01,    4.02,    5.50,    7.07,              1.24,    0.00,              0.25,-999
33.75,-98.75,2020,01,01,    4.19,    5.56,    6.89,              1.20,    0.00,              0.24,-999
33.75,-98.25,2020,01,01,    4.39,    4.96,    6.67,              1.20,    0.00,              0.24,-999
33.75,-97.75,2020,01,01,    4.49,    4.35,    6.42,              1.19,    0.00,              0.24,-999
33.75,-97.25,2020,01,01,    4.34,    3.92,    6.07,              1.19,    0.00,              0.24,-999
33.75,-96.75,2020,01,01,    4.23,    3.82,    5.89,              0.87,    0.03,              0.18,-999
34.25,-101.25,2020,01,01,    3.04,    4.75,    8.26,              3.39,    0.08,              0.71,              3.45
34.25,-100.75,2020,01,01,    3.29,    5.36,    7.49,              3.21,    0.18,              0.67,              3.38
34.25,-100.25,2020,01,01,    3.50,    5.65,    7.00,              3.21,    0.14,              0.67,              3.38
34.25,-99.75,2020,01,01,    3.70,    5.96,    6.90,              2.53,    0.05,              0.53,              3.33
34.25,-99.25,2020,01,01,    3.89,    6.18,    6.98,              2.53,    0.00,              0.53,              3.33
34.25,-98.75,2020,01,01,    4.06,    6.50,    6.96,              2.02,    0.00,              0.42,              3.28
34.25,-98.25,2020,01,01,    4.25,    6.16,    6.92,              2.02,    0.00,              0.42,              3.28
34.25,-97.75,2020,01,01,    4.37,    5.42,    6.79,              1.43,    0.00,              0.30,              3.24
34.25,-97.25,2020,01,01,    4.26,    4.68,    6.51,              1.43,    0.00,              0.30,              3.24
34.25,-96.75,2020,01,01,    4.21,    4.71,    6.25,              0.98,    0.01,              0.20,-999
34.75,-101.25,2020,01,01,    2.85,    4.89,    7.77,              3.39,    0.67,              0.71,              3.45
34.75,-100.75,2020,01,01,    3.09,    5.76,    6.77,              3.21,    0.99,              0.67,              3.38
34.75,-100.25,2020,01,01,    3.33,    5.94,    6.40,              3.21,    0.68,              0.67,              3.38
34.75,-99.75,2020,01,01,    3.56,    6.45,    6.57,              2.53,    0.25,              0.53,              3.33
34.75,-99.25,2020,01,01,    3.78,    6.93,    6.94,              2.53,    0.01,              0.53,              3.33
34.75,-98.75,2020,01,01,    3.94,    7.09,    7.16,              2.02,    0.00,              0.42,              3.28
34.75,-98.25,2020,01,01,    4.14,    6.98,    7.37,              2.02,    0.00,              0.42,              3.28
34.75,-97.75,2020,01,01,    4.26,    6.82,    7.49,              1.43,    0.00,              0.30,              3.24
34.75,-97.25,2020,01,01,    4.16,    6.47,    7.36,              1.43,    0.00,              0.30,              3.24
34.75,-96.75,2020,01,01,    4.13,    5.74,    7.16,              0.98,    0.00,              0.20,-999
35.25,-101.25,2020,01,01,    2.79,    5.55,    7.08,              3.32,    1.41,              0.72,              3.33
35.25,-100.75,2020,01,01,    2.93,    5.43,    6.46,              3.29,    1.87,              0.71,              3.29
35.25,-100.25,2020,01,01,    3.14,    6.86,    6.19,              3.29,    1.22,              0.71,              3.29
35.25,-99.75,2020,01,01,    3.40,    7.23,    6.49,              3.21,    0.44,              0.70,              3.23
35.25,-99.25,2020,01,01,    3.66,    7.03,    7.07,              3.21,    0.02,              0.70,              3.23
35.25,-98.75,2020,01,01,    3.85,    7.42,    7.49,              3.15,    0.00,              0.68,              3.17
35.25,-98.25,2020,01,01,    4.05,    7.54,    7.83,              3.15,    0.00,              0.68,              3.17
35.25,-97.75,2020,01,01,    4.17,    7.59,    8.13,              2.97,    0.00,              0.64,              3.13
35.25,-97.25,2020,01,01,    4.09,    7.72,    8.09,              2.97,    0.00,              0.64,              3.13
35.25,-96.75,2020,01,01,    4.09,    7.40,    7.93,              2.30,    0.00,              0.50,              3.09
35.75,-101.25,2020,01,01,    2.84,    5.10,    6.34,              3.32,    1.03,              0.72,              3.33
35.75,-100.75,2020,01,01,    2.87,    4.89,    6.15,              3.29,    1.37,              0.71,              3.29
35.75,-100.25,2020,01,01,    3.00,    5.94,    5.98,              3.29,    0.89,              0.71,              3.29
35.75,-99.75,2020,01,01,    3.23,    8.24,    6.30,              3.21,    0.32,              0.70,              3.23
35.75,-99.25,2020,01,01,    3.53,    7.71,    7.09,              3.21,    0.02,              0.70,              3.23
35.75,-98.75,2020,01,01,    3.78,    7.23,    7.71,              3.15,    0.00,              0.68,              3.17
35.75,-98.25,2020,01,01,    3.99,    7.06,    7.93,              3.15,    0.00,              0.68,              3.17
35.75,-97.75,2020,01,01,    4.13,    7.43,    8.16,              2.97,    0.00,              0.64,              3.13
35.75,-97.25,2020,01,01,    4.08,    7.83,    8.12,              2.97,    0.00,              0.64,              3.13
35.75,-96.75,2020,01,01,    4.09,    7.77,    7.98,              2.30,    0.00,              0.50,              3.09
36.25,-101.25,2020,01,01,    2.88,    4.47,    5.35,              3.12,    0.21,              0.70,              3.13
36.25,-100.75,2020,01,01,    2.88,    4.38,    5.38,              3.13,    0.31,              0.71,              3.14
36.25,-100.25,2020,01,01,    2.96,    5.06,    5.51,              3.13,    0.21,              0.71,              3.14
36.25,-99.75,2020,01,01,    3.14,    6.87,    5.83,              3.12,    0.08,              0.70,              3.13
36.25,-99.25,2020,01,01,    3.42,    8.23,    6.50,              3.12,    0.00,              0.70,              3.13
36.25,-98.75,2020,01,01,    3.73,    7.34,    7.18,              3.06,    0.00,              0.69,              3.06
36.25,-98.25,2020,01,01,    3.96,    7.20,    7.45,              3.06,    0.00,              0.69,              3.06
36.25,-97.75,2020,01,01,    4.10,    6.79,    7.61,              2.99,    0.00,              0.68,              3.01
36.25,-97.25,2020,01,01,    4.06,    7.46,    7.68,              2.99,    0.00,              0.68,              3.01
36.25,-96.75,2020,01,01,    4.08,    7.64,    7.70,              2.95,    0.00,              0.67,              2.98
36.75,-101.25,2020,01,01,    2.73,    3.94,    4.60,              3.12,    0.00,              0.70,              3.13
36.75,-100.75,2020,01,01,    2.83,    4.11,    4.61,              3.13,    0.00,              0.71,              3.14
36.75,-100.25,2020,01,01,    2.92,    4.36,    4.74,              3.13,    0.00,              0.71,              3.14
36.75,-99.75,2020,01,01,    3.06,    5.18,    4.89,              3.12,    0.00,              0.70,              3.13
36.75,-99.25,2020,01,01,    3.29,    6.60,    5.11,              3.12,    0.00,              0.70,              3.13
36.75,-98.75,2020,01,01,    3.62,    7.68,    5.66,              3.06,    0.00,              0.69,              3.06
36.75,-98.25,2020,01,01,    3.92,    7.12,    6.38,              3.06,    0.00,              0.69,              3.06
36.75,-97.75,2020,01,01,    4.06,    7.45,    6.87,              2.99,    0.00,              0.68,              3.01
36.75,-97.25,2020,01,01,    4.02,    7.38,    7.29,              2.99,    0.00,              0.68,              3.01
36.75,-96.75,2020,01,01,    4.04,    7.37,    7.54,              2.95,    0.00,              0.67,              2.98
37.25,-101.25,2020,01,01,    2.54,    3.03,    4.06,              2.98,    0.00,              0.70,              2.99
37.25,-100.75,2020,01,01,    2.70,    3.93,    3.93,              2.97,    0.00,              0.70,              2.99
37.25,-100.25,2020,01,01,    2.82,    3.83,    3.93,              2.97,    0.00,              0.70,              2.99
37.25,-99.75,2020,01,01,    2.92,    4.13,    4.02,              2.98,    0.00,              0.70,              3.00
37.25,-99.25,2020,01,01,    3.07,    5.29,    4.20,              2.98,    0.00,              0.70,              3.00
37.25,-98.75,2020,01,01,    3.36,    6.31,    4.56,              2.95,    0.00,              0.69,              2.97
37.25,-98.25,2020,01,01,    3.76,    7.04,    5.33,              2.95,    0.00,              0.69,              2.97
37.25,-97.75,2020,01,01,    3.97,    6.92,    6.22,              2.92,    0.00,              0.69,              2.92
37.25,-97.25,2020,01,01,    3.97,    7.29,    6.95,              2.92,    0.00,              0.69,              2.92
37.25,-96.75,2020,01,01,    4.02,    7.63,    7.38,              2.89,    0.01,              0.68,              2.89
32.75,-101.25,2020,01,02,    4.23,    4.33,    5.74,              2.74,    0.04,              0.53,              3.57
32.75,-100.75,2020,01,02,    4.36,    4.55,    5.91,              3.41,    0.01,              0.66,              3.56
32.75,-100.25,2020,01,02,    4.57,    4.81,    5.94,              3.41,    0.00,              0.66,              3.56
32.75,-99.75,2020,01,02,    4.82,    4.91,    5.81,              2.66,    0.00,              0.52,              3.54
32.75,-99.25,2020,01,02,    5.13,    4.93,    5.52,              2.66,    0.00,              0.52,              3.54
32.75,-98.75,2020,01,02,    5.55,    4.84,    5.17,              1.30,    0.00,              0.25,-999
32.75,-98.25,2020,01,02,    6.14,    4.62,    4.79,              1.30,    0.00,              0.25,-999
32.75,-97.75,2020,01,02,    6.85,    4.57,    4.79,              1.26,    0.00,              0.25,-999
32.75,-97.25,2020,01,02,    7.57,    4.54,    5.12,              1.26,    0.01,              0.25,-999
32.75,-96.75,2020,01,02,    8.11,    4.49,    5.32,              0.82,    0.07,              0.16,-999
33.25,-101.25,2020,01,02,    3.92,    5.12,    5.03,              2.19,    0.04,              0.44,-999
33.25,-100.75,2020,01,02,    4.09,    4.20,    5.09,              3.37,    0.01,              0.68,              3.43
33.25,-100.25,2020,01,02,    4.33,    4.63,    5.25,              3.37,    0.00,              0.68,              3.43
33.25,-99.75,2020,01,02,    4.62,    4.98,    5.32,              3.22,    0.00,              0.65,              3.42
33.25,-99.25,2020,01,02,    4.95,    5.52,    5.19,              3.22,    0.00,              0.65,              3.42
33.25,-98.75,2020,01,02,    5.37,    6.55,    4.84,              1.74,    0.00,              0.35,-999
33.25,-98.25,2020,01,02,    6.04,    6.59,    4.49,              1.74,    0.00,              0.35,-999
33.25,-97.75,2020,01,02,    6.77,    6.09,    4.50,              1.16,    0.00,              0.23,-999
33.25,-97.25,2020,01,02,    7.46,    5.41,    4.89,              1.16,    0.00,              0.23,-999
33.25,-96.75,2020,01,02,    7.97,    4.91,    5.22,              0.85,    0.02,              0.17,-999
33.75,-101.25,2020,01,02,    3.75,    3.24,    5.74,              2.19,    0.09,              0.44,-999
33.75,-100.75,2020,01,02,    3.86,    3.76,    5.11,              3.37,    0.02,              0.68,              3.43
33.75,-100.25,2020,01,02,    4.11,    4.68,    4.51,              3.37,    0.00,              0.68,              3.43
33.75,-99.75,2020,01,02,    4.41,    4.56,    4.44,              3.22,    0.00,              0.65,              3.42
33.75,-99.25,2020,01,02,    4.76,    5.58,    4.59,              3.22,    0.00,              0.65,              3.42
33.75,-98.75,2020,01,02,    5.17,    6.32,    4.49,              1.74,    0.00,              0.35,-999
33.75,-98.25,2020,01,02,    5.83,    6.73,    4.26,              1.74,    0.00,              0.35,-999
33.75,-97.75,2020,01,02,    6.56,    6.97,    4.23,              1.16,    0.00,              0.23,-999
33.75,-97.25,2020,01,02,    7.24,    6.69,    4.55,              1.16,    0.00,              0.23,-999
33.75,-96.75,2020,01,02,    7.76,    5.77,    4.85,              0.85,    0.01,              0.17,-999
34.25,-101.25,2020,01,02,    3.76,    2.70,    6.00,              1.54,    0.13,              0.32,-999
34.25,-100.75,2020,01,02,    3.77,    2.52,    5.42,              2.54,    0.03,              0.53,              3.28
34.25,-100.25,2020,01,02,    3.97,    3.35,    4.49,              2.54,    0.00,              0.53,              3.28
34.25,-99.75,2020,01,02,    4.28,    4.68,    3.69,              3.19,    0.00,              0.67,              3.27
34.25,-99.25,2020,01,02,    4.63,    5.34,    3.59,              3.19,    0.00,              0.67,              3.27
34.25,-98.75,2020,01,02,    5.00,    6.02,    3.88,              2.96,    0.00,              0.62,              3.26
34.25,-98.25,2020,01,02,    5.55,    6.29,    4.01,              2.96,    0.00,              0.62,              3.26
34.25,-97.75,2020,01,02,    6.24,    6.31,    4.14,              2.11,    0.00,              0.44,              3.21
34.25,-97.25,2020,01,02,    6.92,    6.67,    4.33,              2.11,    0.00,              0.44,              3.21
34.25,-96.75,2020,01,02,    7.47,    6.93,    4.36,              1.55,    0.01,              0.32,-999
34.75,-101.25,2020,01,02,    3.77,    1.30,    5.81,              1.54,    0.09,              0.32,-999
34.75,-100.75,2020,01,02,    3.73,    2.75,    5.70,              2.54,    0.02,              0.53,              3.28
34.75,-100.25,2020,01,02,    3.90,    4.12,    4.98,              2.54,    0.00,              0.53,              3.28
34.75,-99.75,2020,01,02,    4.22,    4.39,    4.01,              3.19,    0.00,              0.67,              3.27
34.75,-99.25,2020,01,02,    4.60,    5.91,    3.29,              3.19,    0.00,              0.67,              3.27
34.75,-98.75,2020,01,02,    4.96,    5.48,    3.38,              2.96,    0.00,              0.62,              3.26
34.75,-98.25,2020,01,02,    5.41,    5.94,    3.61,              2.96,    0.00,              0.62,              3.26
34.75,-97.75,2020,01,02,    5.96,    6.83,    3.97,              2.11,    0.00,              0.44,              3.21
34.75,-97.25,2020,01,02,    6.55,    7.13,    4.27,              2.11,    0.00,              0.44,              3.21
34.75,-96.75,2020,01,02,    7.07,    6.97,    4.22,              1.55,    0.00,              0.32,-999
35.25,-101.25,2020,01,02,    3.67,    3.10,    5.42,              1.24,    0.04,              0.27,-999
35.25,-100.75,2020,01,02,    3.65,    4.05,    5.73,              2.14,    0.01,              0.46,-999
35.25,-100.25,2020,01,02,    3.82,    5.49,    5.36,              2.14,    0.00,              0.46,-999
35.25,-99.75,2020,01,02,    4.13,    6.11,    4.53,              2.05,    0.00,              0.44,-999
35.25,-99.25,2020,01,02,    4.53,    5.87,    3.80,              2.05,    0.00,              0.44,-999
35.25,-98.75,2020,01,02,    4.93,    5.50,    3.44,              2.78,    0.00,              0.60,              3.11
35.25,-98.25,2020,01,02,    5.39,    5.76,    3.33,              2.78,    0.01,              0.60,              3.11
35.25,-97.75,2020,01,02,    5.82,    6.37,    3.64,              2.68,    0.01,              0.58,-999
35.25,-97.25,2020,01,02,    6.26,    7.40,    4.06,              2.68,    0.01,              0.58,-999
35.25,-96.75,2020,01,02,    6.67,    7.32,    4.20,              2.19,    0.01,              0.47,-999
35.75,-101.25,2020,01,02,    3.56,    3.85,    5.17,              1.24,    0.01,              0.27,-999
35.75,-100.75,2020,01,02,    3.60,    3.36,    5.44,              2.14,    0.00,              0.46,-999
35.75,-100.25,2020,01,02,    3.75,    4.60,    5.30,              2.14,    0.00,              0.46,-999
35.75,-99.75,2020,01,02,    4.01,    6.44,    4.72,              2.05,    0.00,              0.44,-999
35.75,-99.25,2020,01,02,    4.36,    5.83,    4.14,              2.05,    0.00,              0.44,-999
35.75,-98.75,2020,01,02,    4.74,    5.74,    3.67,              2.78,    0.00,              0.60,              3.11
35.75,-98.25,2020,01,02,    5.27,    5.44,    3.09,              2.78,    0.01,              0.60,              3.11
35.75,-97.75,2020,01,02,    5.72,    5.72,    3.11,              2.68,    0.04,              0.58,-999
35.75,-97.25,2020,01,02,    6.11,    6.71,    3.48,              2.68,    0.06,              0.58,-999
35.75,-96.75,2020,01,02,    6.42,    6.84,    3.78,              2.19,    0.05,              0.47,-999
36.25,-101.25,2020,01,02,    3.50,    4.16,    4.90,              2.07,    0.00,              0.47,-999
36.25,-100.75,2020,01,02,    3.61,    3.54,    5.06,              2.48,    0.00,              0.56,-999
36.25,-100.25,2020,01,02,    3.75,    3.07,    5.00,              2.48,    0.00,              0.56,-999
36.25,-99.75,2020,01,02,    3.96,    4.08,    4.61,              2.20,    0.00,              0.49,-999
36.25,-99.25,2020,01,02,    4.24,    5.30,    4.04,              2.20,    0.00,              0.49,-999
36.25,-98.75,2020,01,02,    4.57,    5.04,    3.64,              2.00,    0.00,              0.45,-999
36.25,-98.25,2020,01,02,    5.04,    5.26,    3.04,              2.00,    0.04,              0.45,-999
36.25,-97.75,2020,01,02,    5.52,    5.32,    2.81,              2.30,    0.06,              0.52,-999
36.25,-97.25,2020,01,02,    5.93,    5.38,    2.91,              2.30,    0.07,              0.52,-999
36.25,-96.75,2020,01,02,    6.18,    5.46,    3.15,              2.27,    0.08,              0.51,-999
36.75,-101.25,2020,01,02,    3.44,    3.95,    4.58,              2.07,    0.00,              0.47,-999
36.75,-100.75,2020,01,02,    3.62,    3.68,    4.72,              2.48,    0.00,              0.56,-999
36.75,-100.25,2020,01,02,    3.79,    3.26,    4.72,              2.48,    0.00,              0.56,-999
36.75,-99.75,2020,01,02,    3.96,    2.75,    4.51,              2.20,    0.00,              0.49,-999
36.75,-99.25,2020,01,02,    4.17,    3.79,    4.08,              2.20,    0.00,              0.49,-999
36.75,-98.75,2020,01,02,    4.45,    4.72,    3.60,              2.00,    0.00,              0.45,-999
36.75,-98.25,2020,01,02,    4.83,    5.07,    3.06,              2.00,    0.03,              0.45,-999
36.75,-97.75,2020,01,02,    5.25,    5.25,    2.83,              2.30,    0.02,              0.52,-999
36.75,-97.25,2020,01,02,    5.61,    4.60,    2.84,              2.30,    0.03,              0.52,-999
36.75,-96.75,2020,01,02,    5.85,    4.77,    2.97,              2.27,    0.05,              0.51,-999
37.25,-101.25,2020,01,02,    3.37,    3.60,    4.40,              2.73,    0.00,              0.64,-999
37.25,-100.75,2020,01,02,    3.58,    3.38,    4.60,              2.81,    0.00,              0.66,-999
37.25,-100.25,2020,01,02,    3.78,    3.18,    4.76,              2.81,    0.00,              0.66,-999
37.25,-99.75,2020,01,02,    3.95,    2.99,    4.78,              2.74,    0.00,              0.64,              2.94
37.25,-99.25,2020,01,02,    4.10,    2.68,    4.59,              2.74,    0.00,              0.64,              2.94
37.25,-98.75,2020,01,02,    4.27,    3.90,    4.22,              2.28,    0.00,              0.53,-999
37.25,-98.25,2020,01,02,    4.64,    5.32,    3.39,              2.28,    0.01,              0.53,-999
37.25,-97.75,2020,01,02,    4.95,    5.23,    2.98,              1.61,    0.01,              0.38,-999
37.25,-97.25,2020,01,02,    5.23,    5.09,    2.94,              1.61,    0.01,              0.38,-999
37.25,-96.75,2020,01,02,    5.46,    4.58,    3.07,              1.78,    0.02,              0.42,-999
32.75,-101.25,2020,01,03,    3.77,    4.28,    4.71,              3.53,    0.09,              0.68,              3.65
32.75,-100.75,2020,01,03,    3.75,    4.20,    4.99,              3.28,    0.03,              0.64,              3.60
32.75,-100.25,2020,01,03,    3.79,    4.63,    5.23,              3.28,    0.01,              0.64,              3.60
32.75,-99.75,2020,01,03,    3.87,    4.86,    5.43,              3.05,    0.01,              0.59,              3.56
32.75,-99.25,2020,01,03,    3.98,    5.05,    5.58,              3.05,    0.00,              0.59,              3.56
32.75,-98.75,2020,01,03,    4.13,    4.98,    5.70,              2.64,    0.00,              0.51,-999
32.75,-98.25,2020,01,03,    4.38,    4.98,    5.77,              2.64,    0.00,              0.51,-999
32.75,-97.75,2020,01,03,    4.63,    4.82,    5.74,              2.65,    0.00,              0.51,-999
32.75,-97.25,2020,01,03,    5.06,    5.16,    5.60,              2.65,    0.00,              0.51,-999
32.75,-96.75,2020,01,03,    5.49,    5.59,    5.39,              3.04,    0.00,              0.59,-999
33.25,-101.25,2020,01,03,    3.61,    4.22,    4.72,              3.52,    0.04,              0.71,              3.54
33.25,-100.75,2020,01,03,    3.60,    4.19,    4.95,              3.44,    0.01,              0.69,              3.49
33.25,-100.25,2020,01,03,    3.66,    4.48,    5.14,              3.44,    0.01,              0.69,              3.49
33.25,-99.75,2020,01,03,    3.76,    4.69,    5.32,              3.29,    0.00,              0.66,              3.45
33.25,-99.25,2020,01,03,    3.91,    4.58,    5.47,              3.29,    0.00,              0.66,              3.45
33.25,-98.75,2020,01,03,    4.08,    4.52,    5.58,              3.20,    0.00,              0.64,              3.41
33.25,-98.25,2020,01,03,    4.33,    4.62,    5.57,              3.20,    0.00,              0.64,              3.41
33.25,-97.75,2020,01,03,    4.59,    4.66,    5.55,              2.96,    0.00,              0.59,              3.37
33.25,-97.25,2020,01,03,    5.02,    5.08,    5.50,              2.96,    0.00,              0.59,              3.37
33.25,-96.75,2020,01,03,    5.43,    5.18,    5.39,              2.63,    0.00,              0.53,              3.32
33.75,-101.25,2020,01,03,    3.44,    4.30,    4.80,              3.52,    0.01,              0.71,              3.54
33.75,-100.75,2020,01,03,    3.45,    4.47,    5.00,              3.44,    0.00,              0.69,              3.49
33.75,-100.25,2020,01,03,    3.53,    4.56,    5.16,              3.44,    0.00,              0.69,              3.49
33.75,-99.75,2020,01,03,    3.66,    4.71,    5.29,              3.29,    0.00,              0.66,              3.45
33.75,-99.25,2020,01,03,    3.85,    4.64,    5.39,              3.29,    0.00,              0.66,              3.45
33.75,-98.75,2020,01,03,    4.05,    4.52,    5.44,              3.20,    0.00,              0.64,              3.41
33.75,-98.25,2020,01,03,    4.29,    4.38,    5.37,              3.20,    0.00,              0.64,              3.41
33.75,-97.75,2020,01,03,    4.53,    4.20,    5.39,              2.96,    0.00,              0.59,              3.37
33.75,-97.25,2020,01,03,    4.91,    4.11,    5.48,              2.96,    0.00,              0.59,              3.37
33.75,-96.75,2020,01,03,    5.25,    4.94,    5.40,              2.63,    0.00,              0.53,              3.32
34.25,-101.25,2020,01,03,    3.29,    4.69,    4.75,              3.41,    0.00,              0.71,              3.43
34.25,-100.75,2020,01,03,    3.33,    4.94,    4.93,              3.36,    0.00,              0.70,              3.38
34.25,-100.25,2020,01,03,    3.43,    4.88,    5.06,              3.36,    0.00,              0.70,              3.38
34.25,-99.75,2020,01,03,    3.59,    5.00,    5.20,              3.25,    0.00,              0.68,              3.35
34.25,-99.25,2020,01,03,    3.81,    5.01,    5.32,              3.25,    0.00,              0.68,              3.35
34.25,-98.75,2020,01,03,    4.01,    4.75,    5.39,              3.18,    0.00,              0.66,              3.31
34.25,-98.25,2020,01,03,    4.24,    4.52,    5.34,              3.18,    0.00,              0.66,              3.31
34.25,-97.75,2020,01,03,    4.45,    4.23,    5.39,              3.00,    0.00,              0.62,              3.27
34.25,-97.25,2020,01,03,    4.76,    3.64,    5.55,              3.00,    0.00,              0.62,              3.27
34.25,-96.75,2020,01,03,    5.04,    3.67,    5.46,              2.96,    0.01,              0.62,-999
34.75,-101.25,2020,01,03,    3.19,    5.14,    4.73,              3.41,    0.00,              0.71,              3.43
34.75,-100.75,2020,01,03,    3.27,    5.47,    5.00,              3.36,    0.00,              0.70,              3.38
34.75,-100.25,2020,01,03,    3.39,    5.44,    5.12,              3.36,    0.00,              0.70,              3.38
34.75,-99.75,2020,01,03,    3.55,    5.35,    5.20,              3.25,    0.00,              0.68,              3.35
34.75,-99.25,2020,01,03,    3.76,    5.25,    5.29,              3.25,    0.00,              0.68,              3.35
34.75,-98.75,2020,01,03,    3.95,    5.09,    5.39,              3.18,    0.00,              0.66,              3.31
34.75,-98.25,2020,01,03,    4.15,    4.81,    5.43,              3.18,    0.00,              0.66,              3.31
34.75,-97.75,2020,01,03,    4.32,    4.46,    5.50,              3.00,    0.00,              0.62,              3.27
34.75,-97.25,2020,01,03,    4.59,    3.96,    5.66,              3.00,    0.00,              0.62,              3.27
34.75,-96.75,2020,01,03,    4.83,    3.57,    5.59,              2.96,    0.00,              0.62,-999
35.25,-101.25,2020,01,03,    3.12,    5.34,    4.61,              3.30,    0.00,              0.71,              3.31
35.25,-100.75,2020,01,03,    3.21,    5.86,    5.05,              3.26,    0.00,              0.70,              3.28
