LAT,LON,YEAR,MO,DY,Humidity,Wind Speed, Sky Insolation on a Horizontal Surface (kW-hr/m^2/day) ,Precipitation mm/day
33.25,-98.25,2020,1,3,4.33,5.57,3.2,0
33.25,-97.75,2020,1,3,4.59,5.55,2.96,0
33.25,-97.25,2020,1,3,5.02,5.5,2.96,0
33.25,-96.75,2020,1,3,5.43,5.39,2.63,0
33.75,-101.25,2020,1,3,3.44,4.8,3.52,0.01
33.75,-100.75,2020,1,3,3.45,5,3.44,0
33.75,-100.25,2020,1,3,3.53,5.16,3.44,0
33.75,-99.75,2020,1,3,3.66,5.29,3.29,0
33.75,-99.25,2020,1,3,3.85,5.39,3.29,0
33.75,-98.75,2020,1,3,4.05,5.44,3.2,0
33.75,-98.25,2020,1,3,4.29,5.37,3.2,0
33.75,-97.75,2020,1,3,4.53,5.39,2.96,0
33.75,-97.25,2020,1,3,4.91,5.48,2.96,0
33.75,-96.75,2020,1,3,5.25,5.4,2.63,0
34.25,-101.25,2020,1,3,3.29,4.75,3.41,0
34.25,-100.75,2020,1,3,3.33,4.93,3.36,0
34.25,-100.25,2020,1,3,3.43,5.06,3.36,0
34.25,-99.75,2020,1,3,3.59,5.2,3.25,0
34.25,-99.25,2020,1,3,3.81,5.32,3.25,0
34.25,-98.75,2020,1,3,4.01,5.39,3.18,0
34.25,-98.25,2020,1,3,4.24,5.34,3.18,0
34.25,-97.75,2020,1,3,4.45,5.39,3,0
34.25,-97.25,2020,1,3,4.76,5.55,3,0
34.25,-96.75,2020,1,3,5.04,5.46,2.96,0.01
34.75,-101.25,2020,1,3,3.19,4.73,3.41,0
34.75,-100.75,2020,1,3,3.27,5,3.36,0
34.75,-100.25,2020,1,3,3.39,5.12,3.36,0
34.75,-99.75,2020,1,3,3.55,5.2,3.25,0
34.75,-99.25,2020,1,3,3.76,5.29,3.25,0
34.75,-98.75,2020,1,3,3.95,5.39,3.18,0
34.75,-98.25,2020,1,3,4.15,5.43,3.18,0
34.75,-97.75,2020,1,3,4.32,5.5,3,0
34.75,-97.25,2020,1,3,4.59,5.66,3,0
34.75,-96.75,2020,1,3,4.83,5.59,2.96,0
35.25,-101.25,2020,1,3,3.12,4.61,3.3,0
35.25,-100.75,2020,1,3,3.21,5.05,3.26,0
35.25,-100.25,2020,1,3,3.32,5.26,3.26,0
35.25,-99.75,2020,1,3,3.48,5.33,3.23,0
35.25,-99.25,2020,1,3,3.67,5.34,3.23,0
35.25,-98.75,2020,1,3,3.86,5.38,3.17,0
35.25,-98.25,2020,1,3,4.06,5.42,3.17,0
35.25,-97.75,2020,1,3,4.21,5.46,2.93,0
35.25,-97.25,2020,1,3,4.46,5.55,2.93,0
35.25,-96.75,2020,1,3,4.66,5.51,2.93,0
35.75,-101.25,2020,1,3,3.05,4.47,3.3,0
35.75,-100.75,2020,1,3,3.12,4.84,3.26,0
35.75,-100.25,2020,1,3,3.23,5.14,3.26,0
35.75,-99.75,2020,1,3,3.38,5.32,3.23,0
35.75,-99.25,2020,1,3,3.55,5.36,3.23,0
35.75,-98.75,2020,1,3,3.73,5.32,3.17,0
35.75,-98.25,2020,1,3,3.97,5.27,3.17,0
35.75,-97.75,2020,1,3,4.15,5.22,2.93,0
35.75,-97.25,2020,1,3,4.37,5.25,2.93,0
35.75,-96.75,2020,1,3,4.51,5.22,2.93,0
36.25,-101.25,2020,1,3,2.93,4.38,3.15,0
36.25,-100.75,2020,1,3,3.03,4.59,3.11,0
36.25,-100.25,2020,1,3,3.14,4.8,3.11,0
36.25,-99.75,2020,1,3,3.27,4.96,3.09,0
36.25,-99.25,2020,1,3,3.44,5.02,3.09,0
36.25,-98.75,2020,1,3,3.63,4.97,3.06,0
36.25,-98.25,2020,1,3,3.88,4.96,3.06,0
36.25,-97.75,2020,1,3,4.02,4.96,3.02,0
36.25,-97.25,2020,1,3,4.21,5.03,3.02,0
36.25,-96.75,2020,1,3,4.32,5.03,2.8,0
36.75,-101.25,2020,1,3,2.77,4.4,3.15,0
36.75,-100.75,2020,1,3,2.91,4.47,3.11,0
36.75,-100.25,2020,1,3,3.04,4.51,3.11,0
36.75,-99.75,2020,1,3,3.17,4.52,3.09,0
36.75,-99.25,2020,1,3,3.32,4.54,3.09,0
36.75,-98.75,2020,1,3,3.49,4.66,3.06,0
36.75,-98.25,2020,1,3,3.73,4.74,3.06,0
36.75,-97.75,2020,1,3,3.84,4.82,3.02,0
36.75,-97.25,2020,1,3,4,4.98,3.02,0
36.75,-96.75,2020,1,3,4.1,5.05,2.8,0
37.25,-101.25,2020,1,3,2.65,4.59,3.01,0
37.25,-100.75,2020,1,3,2.8,4.63,2.99,0
37.25,-100.25,2020,1,3,2.93,4.58,2.99,0
37.25,-99.75,2020,1,3,3.05,4.54,2.96,0
37.25,-99.25,2020,1,3,3.18,4.66,2.96,0
37.25,-98.75,2020,1,3,3.31,4.87,2.93,0
37.25,-98.25,2020,1,3,3.51,4.86,2.93,0
37.25,-97.75,2020,1,3,3.61,4.87,2.9,0
37.25,-97.25,2020,1,3,3.77,5,2.9,0
37.25,-96.75,2020,1,3,3.87,5.12,2.81,0
32.75,-101.25,2020,1,4,2.9,4.38,3.69,0
32.75,-100.75,2020,1,4,2.97,4.15,3.68,0
32.75,-100.25,2020,1,4,3.09,3.97,3.68,0
32.75,-99.75,2020,1,4,3.22,3.79,3.65,0
32.75,-99.25,2020,1,4,3.33,3.59,3.65,0
32.75,-98.75,2020,1,4,3.45,3.39,3.6,0
32.75,-98.25,2020,1,4,3.72,3.06,3.6,0
32.75,-97.75,2020,1,4,3.95,2.83,3.56,0
32.75,-97.25,2020,1,4,4.07,2.73,3.56,0
32.75,-96.75,2020,1,4,4.1,2.79,3.53,0
33.25,-101.25,2020,1,4,2.91,4.61,3.55,0
33.25,-100.75,2020,1,4,3,4.29,3.51,0
33.25,-100.25,2020,1,4,3.14,3.85,3.51,0
33.25,-99.75,2020,1,4,3.29,3.46,3.48,0
33.25,-99.25,2020,1,4,3.42,3.15,3.48,0
33.25,-98.75,2020,1,4,3.54,2.97,3.46,0
33.25,-98.25,2020,1,4,3.76,2.95,3.46,0
33.25,-97.75,2020,1,4,3.89,3.02,3.43,0
33.25,-97.25,2020,1,4,3.93,2.99,3.43,0
33.25,-96.75,2020,1,4,3.91,2.93,3.41,0
33.75,-101.25,2020,1,4,2.91,4.83,3.55,0
33.75,-100.75,2020,1,4,3.04,4.43,3.51,0
33.75,-100.25,2020,1,4,3.2,3.85,3.51,0
33.75,-99.75,2020,1,4,3.34,3.38,3.48,0
33.75,-99.25,2020,1,4,3.45,3.17,3.48,0
33.75,-98.75,2020,1,4,3.53,3.16,3.46,0
33.75,-98.25,2020,1,4,3.66,3.32,3.46,0
33.75,-97.75,2020,1,4,3.7,3.36,3.43,0
33.75,-97.25,2020,1,4,3.71,3.18,3.43,0
33.75,-96.75,2020,1,4,3.71,2.94,3.41,0
34.25,-101.25,2020,1,4,2.95,4.91,3.41,0
34.25,-100.75,2020,1,4,3.08,4.33,3.36,0
34.25,-100.25,2020,1,4,3.21,3.84,3.36,0
34.25,-99.75,2020,1,4,3.3,3.58,3.33,0
34.25,-99.25,2020,1,4,3.34,3.52,3.33,0
34.25,-98.75,2020,1,4,3.38,3.56,3.33,0
34.25,-98.25,2020,1,4,3.46,3.6,3.33,0
34.25,-97.75,2020,1,4,3.49,3.51,3.3,0
34.25,-97.25,2020,1,4,3.5,3.2,3.3,0
34.25,-96.75,2020,1,4,3.53,2.88,3.3,0
34.75,-101.25,2020,1,4,3.02,4.8,3.41,0
34.75,-100.75,2020,1,4,3.1,4.28,3.36,0
34.75,-100.25,2020,1,4,3.15,3.98,3.36,0
34.75,-99.75,2020,1,4,3.18,3.85,3.33,0
34.75,-99.25,2020,1,4,3.19,3.81,3.33,0
34.75,-98.75,2020,1,4,3.22,3.81,3.33,0
34.75,-98.25,2020,1,4,3.26,3.72,3.33,0
34.75,-97.75,2020,1,4,3.28,3.58,3.3,0
34.75,-97.25,2020,1,4,3.3,3.21,3.3,0
34.75,-96.75,2020,1,4,3.34,2.93,3.3,0
35.25,-101.25,2020,1,4,3.06,4.68,3.3,0
35.25,-100.75,2020,1,4,3.07,4.49,3.24,0
35.25,-100.25,2020,1,4,3.06,4.25,3.24,0
35.25,-99.75,2020,1,4,3.05,4.05,3.2,0
35.25,-99.25,2020,1,4,3.06,3.91,3.2,0
35.25,-98.75,2020,1,4,3.09,3.83,3.16,0
35.25,-98.25,2020,1,4,3.13,3.7,3.16,0
35.25,-97.75,2020,1,4,3.14,3.5,3.16,0
35.25,-97.25,2020,1,4,3.15,3.11,3.16,0
35.25,-96.75,2020,1,4,3.18,2.98,3.18,0
35.75,-101.25,2020,1,4,3.07,4.57,3.3,0
35.75,-100.75,2020,1,4,3.03,4.54,3.24,0
35.75,-100.25,2020,1,4,2.97,4.42,3.24,0
35.75,-99.75,2020,1,4,2.94,4.23,3.2,0
35.75,-99.25,2020,1,4,2.95,4,3.2,0
35.75,-98.75,2020,1,4,2.99,3.79,3.16,0
35.75,-98.25,2020,1,4,3.06,3.47,3.16,0
35.75,-97.75,2020,1,4,3.1,3.19,3.16,0
35.75,-97.25,2020,1,4,3.09,2.95,3.16,0
35.75,-96.75,2020,1,4,3.05,3.01,3.18,0
36.25,-101.25,2020,1,4,3.04,4.37,3.12,0
36.25,-100.75,2020,1,4,3.01,4.42,3.1,0
36.25,-100.25,2020,1,4,2.94,4.49,3.1,0
36.25,-99.75,2020,1,4,2.9,4.4,3.07,0
36.25,-99.25,2020,1,4,2.91,4.12,3.07,0
36.25,-98.75,2020,1,4,2.96,3.74,3.05,0
36.25,-98.25,2020,1,4,3.03,3.39,3.05,0
36.25,-97.75,2020,1,4,3.04,3.18,3.03,0
36.25,-97.25,2020,1,4,2.98,3.05,3.03,0
36.25,-96.75,2020,1,4,2.92,3.18,3.06,0
36.75,-101.25,2020,1,4,3,4.39,3.12,0
36.75,-100.75,2020,1,4,3.02,4.37,3.1,0
36.75,-100.25,2020,1,4,2.98,4.38,3.1,0
36.75,-99.75,2020,1,4,2.94,4.27,3.07,0
36.75,-99.25,2020,1,4,2.92,4.02,3.07,0
36.75,-98.75,2020,1,4,2.95,3.74,3.05,0
36.75,-98.25,2020,1,4,3,3.6,3.05,0
36.75,-97.75,2020,1,4,2.95,3.49,3.03,0
36.75,-97.25,2020,1,4,2.84,3.42,3.03,0
36.75,-96.75,2020,1,4,2.78,3.56,3.06,0
37.25,-101.25,2020,1,4,3.02,4.53,2.96,0
37.25,-100.75,2020,1,4,3.04,4.36,2.96,0
37.25,-100.25,2020,1,4,3,4.28,2.96,0
37.25,-99.75,2020,1,4,2.95,4.21,2.94,0
37.25,-99.25,2020,1,4,2.91,4.12,2.94,0
37.25,-98.75,2020,1,4,2.89,4.06,2.92,0
37.25,-98.25,2020,1,4,2.93,4.04,2.92,0
37.25,-97.75,2020,1,4,2.87,3.98,2.91,0
37.25,-97.25,2020,1,4,2.75,3.93,2.91,0
37.25,-96.75,2020,1,4,2.69,4.06,2.92,0
32.75,-101.25,2020,1,5,3.23,4.86,3.79,0
32.75,-100.75,2020,1,5,3.31,5.06,3.75,0
32.75,-100.25,2020,1,5,3.4,5.21,3.75,0
32.75,-99.75,2020,1,5,3.49,5.28,3.71,0
32.75,-99.25,2020,1,5,3.61,5.29,3.71,0
32.75,-98.75,2020,1,5,3.78,5.25,3.67,0
32.75,-98.25,2020,1,5,4.08,4.97,3.67,0
32.75,-97.75,2020,1,5,4.34,4.72,3.63,0
32.75,-97.25,2020,1,5,4.5,4.67,3.63,0
32.75,-96.75,2020,1,5,4.62,4.74,3.58,0
33.25,-101.25,2020,1,5,3.15,5.11,3.68,0
33.25,-100.75,2020,1,5,3.25,5.25,3.62,0
33.25,-100.25,2020,1,5,3.35,5.32,3.62,0
33.25,-99.75,2020,1,5,3.46,5.36,3.58,0
33.25,-99.25,2020,1,5,3.59,5.39,3.58,0
33.25,-98.75,2020,1,5,3.76,5.39,3.54,0
33.25,-98.25,2020,1,5,4.05,5.13,3.54,0
33.25,-97.75,2020,1,5,4.34,4.8,3.51,0
33.25,-97.25,2020,1,5,4.56,4.63,3.51,0
33.25,-96.75,2020,1,5,4.72,4.59,3.46,0
33.75,-101.25,2020,1,5,3.06,5.32,3.68,0
33.75,-100.75,2020,1,5,3.17,5.45,3.62,0
33.75,-100.25,2020,1,5,3.28,5.41,3.62,0
33.75,-99.75,2020,1,5,3.41,5.38,3.58,0
33.75,-99.25,2020,1,5,3.55,5.38,3.58,0
33.75,-98.75,2020,1,5,3.72,5.38,3.54,0
33.75,-98.25,2020,1,5,3.97,5.24,3.54,0
33.75,-97.75,2020,1,5,4.27,5.03,3.51,0
33.75,-97.25,2020,1,5,4.54,4.87,3.51,0
33.75,-96.75,2020,1,5,4.74,4.56,3.46,0
34.25,-101.25,2020,1,5,2.99,5.29,3.53,0
34.25,-100.75,2020,1,5,3.09,5.4,3.47,0
34.25,-100.25,2020,1,5,3.21,5.31,3.47,0
34.25,-99.75,2020,1,5,3.34,5.24,3.44,0
34.25,-99.25,2020,1,5,3.49,5.24,3.44,0
34.25,-98.75,2020,1,5,3.65,5.31,3.4,0
34.25,-98.25,2020,1,5,3.88,5.33,3.4,0
34.25,-97.75,2020,1,5,4.16,5.24,3.36,0
34.25,-97.25,2020,1,5,4.43,5.2,3.36,0
34.25,-96.75,2020,1,5,4.65,4.86,3.32,0
34.75,-101.25,2020,1,5,2.95,5.23,3.53,0
34.75,-100.75,2020,1,5,3.03,5.35,3.47,0
34.75,-100.25,2020,1,5,3.14,5.24,3.47,0
34.75,-99.75,2020,1,5,3.27,5.15,3.44,0
34.75,-99.25,2020,1,5,3.42,5.19,3.44,0
34.75,-98.75,2020,1,5,3.56,5.39,3.4,0
34.75,-98.25,2020,1,5,3.77,5.53,3.4,0
34.75,-97.75,2020,1,5,3.99,5.55,3.36,0
34.75,-97.25,2020,1,5,4.24,5.61,3.36,0
34.75,-96.75,2020,1,5,4.47,5.37,3.32,0
35.25,-101.25,2020,1,5,2.92,5.05,3.38,0
35.25,-100.75,2020,1,5,2.95,5.39,3.35,0
35.25,-100.25,2020,1,5,3.04,5.42,3.35,0
35.25,-99.75,2020,1,5,3.16,5.35,3.32,0
35.25,-99.25,2020,1,5,3.32,5.34,3.32,0
35.25,-98.75,2020,1,5,3.49,5.49,3.28,0
35.25,-98.25,2020,1,5,3.69,5.64,3.28,0
35.25,-97.75,2020,1,5,3.86,5.74,3.23,0
